,Provinsi,Pulau,Tahun,Curah_hujan,Hari_hujan,Kec_angin,Kelembapan,Suhu_rerata
1,Aceh,Sumatera,2015,1575,146,2.71,80,27.1
2,Sumatera Utara,Sumatera,2015,975.9,105,2.38,86.9,27.4
3,Sumatera Barat,Sumatera,2015,3548,185,2.88,84,26.5
4,Riau,Sumatera,2015,2048.3,140,2.97,80.5,27.2
5,Jambi,Sumatera,2015,1694.9,135,2.39,82.1,27
6,Sumatera Selatan,Sumatera,2015,1947.2,138,3.32,79.5,27.7
7,Bengkulu,Sumatera,2015,2668.9,166,2.12,83.2,27
8,Lampung,Sumatera,2015,1628.1,151,1.95,78.9,27.1
9,Kepulauan Bangka Belitung,Sumatera,2015,1534.7,163,4.05,79.9,27.3
10,Kepulauan Riau,Sumatera,2015,2250.9,174,3.16,84.1,27
11,DKI Jakarta,Jawa,2015,2169.5,121,1.54,74,28.4
12,Jawa Barat,Jawa,2015,2199.3,177,2.14,74.4,23.5
13,Jawa Tengah,Jawa,2015,1620.7,140,2.83,70,28.5
14,DI Yogyakarta,Jawa,2015,2045.5,119,0.07,82.8,26.1
15,Jawa Timur,Jawa,2015,2024.7,133,3.88,75.2,28
16,Banten,Jawa,2015,1310.1,155,0.99,79.3,27.3
17,Bali,Bali & Nusa Tenggara,2015,1133.8,124,3.27,79.1,27.3
18,Nusa Tenggara Barat,Bali & Nusa Tenggara,2015,1147.9,91,3.27,81.4,26.1
19,Nusa Tenggara Timur,Bali & Nusa Tenggara,2015,1406,82,4.04,75.6,27.5
20,Kalimantan Barat,Kalimantan,2015,2757.7,215,1.75,85.7,26.9
21,Kalimantan Tengah,Kalimantan,2015,2748.4,155,2.17,80.5,27.7
22,Kalimantan Selatan,Kalimantan,2015,2509.6,166,1.92,81.2,27
23,Kalimantan Timur,Kalimantan,2015,2069.4,186,1.96,79.7,27.9
24,Kalimantan Utara,Kalimantan,2015,2311.5,202,2.2,83.7,27.6
25,Sulawesi Utara,Sulawesi,2015,1807,127,2.92,75.6,27
26,Sulawesi Tengah,Sulawesi,2015,460.9,68,2.32,72.6,28.4
27,Sulawesi Selatan,Sulawesi,2015,3382,155,2.89,75.2,27.3
28,Sulawesi Tenggara,Sulawesi,2015,1589.6,141,1.27,83.1,26.9
29,Gorontalo,Sulawesi,2015,870.6,76,1.95,77.5,27.3
30,Sulawesi Barat,Sulawesi,2015,1167.9,93,1.93,77.2,27.9
31,Maluku,Maluku,2015,1987.2,167,2.35,83.6,26.5
32,Maluku Utara,Maluku,2015,913.4,127,2.6,78.3,27.3
33,Papua Barat,Papua,2015,2844.6,218,1.54,83.6,27.4
34,Papua,Papua,2015,1265.9,168,2.6,75.5,27.8
